time,Sx,Sy,Sz,xi2,xi2_db,min_var,spin_length,N_eff,active_bonds,hole_spin_covariance,stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
1.018181818181818,9.567822946052638,2.0232706946028785,0.08027450900854319,0.4714727763332028,-3.2654337912941758,2.0496915537179765,0.8890672251328048,22.0,37.0,0.0005339247497155356,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.0499999999999998,9.505026849731351,2.0803193976488235,0.08027451063488053,0.463822363174008,-3.3364831570465276,1.99611663660838,0.884577259109644,22.0,37.0,0.0005339247385610622,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.0818181818181818,9.44100863581594,2.136430300005537,0.08027451225387758,0.4566345434144548,-3.4043123816590057,1.9449190701412176,0.8800048012906704,22.0,37.0,0.0005339247274569284,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.1136363636363635,9.375799329087688,2.1915554917215765,0.08027451385706402,0.4498824899094214,-3.4690090988778692,1.8959473951711814,0.875351039525443,22.0,37.0,0.0005339247164612364,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.1454545454545453,9.378253742871316,2.2206486644603074,0.006932532250983598,0.47090344174893667,-3.270681353650734,1.988132323105963,0.87614374748287,22.0,34.0,0.003250294452996439,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.1772727272727272,9.306085969727294,2.2994532922354973,0.006932533706781457,0.466293986738976,-3.3134018510935057,1.9476415132534157,0.8714515751099324,22.0,34.0,0.0032502944430115414,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.209090909090909,9.232190421465788,2.3768285138254015,0.006932535061151406,0.4620441039658626,-3.3531656731225814,1.9087189331599301,0.8666583578757386,22.0,34.0,0.003250294433722311,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.2409090909090907,9.156648001717649,2.4527372571373824,0.006932536279062582,0.4581369192286305,-3.3900470894165102,1.871284626553094,0.8617691333375178,22.0,34.0,0.0032502944253690095,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.2727272727272725,9.079543514348547,2.5271483999909155,0.006932537328102378,0.4545566349234342,-3.424119986853623,1.8352649241579826,0.8567893051540967,22.0,34.0,0.00325029441817395,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
1.3045454545454545,9.000963573443677,2.6000367740611376,0.006932538182221263,0.4512889536333302,-3.4554529673645256,1.8005933762805033,0.8517244759607089,22.0,34.0,0.003250294412315797,stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,4,0,3,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
