stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,xi2_db_fixed,xi2_db_min,fixed_time,time_at_min,N_eff_fixed,active_bonds_fixed,runtime_seconds,config_hash
stage5c2d,confirmation,3x3x3,27,static_only,1,0,0,221002,0,521001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase00_static_only,-3.5191376164929693,-4.743817188059991,0.9227272727272726,1.4,23.0,39.0,0.31264441699022427,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,0,0,221002,322001,521001,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase00_mobile_plus_spin_density,-3.343486316934528,-4.407465440855408,0.9227272727272726,1.4,23.0,39.0,0.3171892079990357,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,0,1,221002,0,521002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase01_static_only,-3.6273822036271524,-4.779730292558033,0.9227272727272726,1.4,23.0,39.0,0.3123072920134291,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,0,1,221002,322001,521002,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase01_mobile_plus_spin_density,-3.405099169224436,-4.366719172370025,0.9227272727272726,1.4,23.0,39.0,0.31704558298224583,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,0,2,221002,0,521003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase02_static_only,-3.538842650138699,-4.684046074676002,0.9227272727272726,1.4,23.0,39.0,0.31259104202035815,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,0,2,221002,322001,521003,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase02_mobile_plus_spin_density,-3.326585426861369,-4.30998160448844,0.9227272727272726,1.4,23.0,39.0,0.3176647500367835,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,0,3,221002,0,521004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase03_static_only,-3.2629681560626604,-4.455093412476122,0.9227272727272726,1.4,23.0,39.0,0.3128768340102397,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,0,3,221002,322001,521004,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase03_mobile_plus_spin_density,-3.0607604858556576,-4.040296548068767,0.9227272727272726,1.4,23.0,39.0,0.31626608298392966,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,1,0,221002,0,522001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase00_static_only,-3.1608867660869473,-4.260941562751914,0.9227272727272726,1.4,23.0,39.0,0.3133766249520704,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,1,0,221002,322002,522001,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase00_mobile_plus_spin_density,-2.5321710665537553,-3.513283211610396,0.9227272727272726,1.4,23.0,38.0,0.3111877499613911,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,1,1,221002,0,522002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase01_static_only,-3.1549002461223385,-4.384571573535182,0.9227272727272726,1.4,23.0,39.0,0.31265341700054705,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,1,1,221002,322002,522002,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase01_mobile_plus_spin_density,-2.547040614424361,-3.568957098763583,0.9227272727272726,1.4,23.0,38.0,0.3111511669703759,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,1,2,221002,0,522003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase02_static_only,-3.4555181822890315,-4.5411696794448355,0.9227272727272726,1.4,23.0,39.0,0.311839375004638,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,1,2,221002,322002,522003,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase02_mobile_plus_spin_density,-2.6899383099968115,-3.648355901373603,0.9227272727272726,1.4,23.0,38.0,0.3123577500227839,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,1,3,221002,0,522004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase03_static_only,-3.6470694829061094,-4.7781200782953785,0.9227272727272726,1.4,23.0,39.0,0.3122639579814859,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,1,3,221002,322002,522004,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase03_mobile_plus_spin_density,-2.9709095859477985,-3.976237112770715,0.9227272727272726,1.4,23.0,38.0,0.31159112497698516,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,2,0,221002,0,523001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase00_static_only,-3.4456972158457884,-4.696153800199948,0.9227272727272726,1.4,23.0,39.0,0.31297170801553875,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,2,0,221002,322003,523001,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase00_mobile_plus_spin_density,-3.2895757954979925,-4.2194125575586,0.9227272727272726,1.2727272727272725,23.0,40.0,0.3159906250075437,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,2,1,221002,0,523002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase01_static_only,-3.3447187900079385,-4.451858071017422,0.9227272727272726,1.4,23.0,39.0,0.3132797090220265,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,2,1,221002,322003,523002,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase01_mobile_plus_spin_density,-3.0571584652980643,-3.906892238052699,0.9227272727272726,1.2727272727272725,23.0,40.0,0.3166260840371251,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,2,2,221002,0,523003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase02_static_only,-3.0862154739462753,-4.2489216050773875,0.9227272727272726,1.4,23.0,39.0,0.3121938330004923,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,2,2,221002,322003,523003,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase02_mobile_plus_spin_density,-3.1102972882984643,-4.017221513115468,0.9227272727272726,1.2727272727272725,23.0,40.0,0.3167044169967994,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,1,2,3,221002,0,523004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase03_static_only,-3.501648572181209,-4.704008603631012,0.9227272727272726,1.4,23.0,39.0,0.3121833749464713,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,1,2,3,221002,322003,523004,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase03_mobile_plus_spin_density,-3.6614346772550697,-4.614507850470822,0.9227272727272726,1.2727272727272725,23.0,40.0,0.3167869999888353,90af02170d880284
