block,family_index,unit_id,case_id,occupancy_id,sampling,trajectories,phase_seed
DEVELOPMENT,22,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2898051415
DEVELOPMENT,22,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2145106455
DEVELOPMENT,23,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3649215295
DEVELOPMENT,23,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,4015219383
DEVELOPMENT,23,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,1975641987
DEVELOPMENT,23,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1205068862
DEVELOPMENT,24,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3859589812
DEVELOPMENT,24,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,1610145820
DEVELOPMENT,24,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2405595525
DEVELOPMENT,24,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3497822726
DEVELOPMENT,25,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,1026033542
DEVELOPMENT,25,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2946514481
DEVELOPMENT,25,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2610389993
DEVELOPMENT,25,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1526568566
DEVELOPMENT,26,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,742132267
DEVELOPMENT,26,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2103645570
DEVELOPMENT,26,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2291517854
DEVELOPMENT,26,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3046167385
DEVELOPMENT,27,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3940038708
DEVELOPMENT,27,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2594652732
DEVELOPMENT,27,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2496427431
DEVELOPMENT,27,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1084720814
DEVELOPMENT,28,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3440302750
DEVELOPMENT,28,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,519762774
DEVELOPMENT,28,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,308316957
DEVELOPMENT,28,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,308877755
DEVELOPMENT,29,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,772306535
DEVELOPMENT,29,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,1322140654
DEVELOPMENT,29,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3249483148
DEVELOPMENT,29,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3408989552
DEVELOPMENT,30,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,4109096915
DEVELOPMENT,30,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3552208153
DEVELOPMENT,30,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2437851870
DEVELOPMENT,30,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1700496762
DEVELOPMENT,31,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,4263247643
DEVELOPMENT,31,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,957794754
DEVELOPMENT,31,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,32863941
DEVELOPMENT,31,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2350500255
DEVELOPMENT,32,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3899892442
DEVELOPMENT,32,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,1007181793
DEVELOPMENT,32,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2705941033
DEVELOPMENT,32,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,4011747131
DEVELOPMENT,33,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,845491822
DEVELOPMENT,33,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3007862402
DEVELOPMENT,33,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,319767451
DEVELOPMENT,33,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,366119612
DEVELOPMENT,34,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,1076764095
DEVELOPMENT,34,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3405328889
DEVELOPMENT,34,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3552580165
DEVELOPMENT,34,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1409008110
DEVELOPMENT,35,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3073583927
DEVELOPMENT,35,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3829413538
DEVELOPMENT,35,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,1889505430
DEVELOPMENT,35,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3411386721
DEVELOPMENT,36,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2155592378
DEVELOPMENT,36,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,136487456
DEVELOPMENT,36,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,318983910
DEVELOPMENT,36,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1191689494
